library_pn,official_pin,mil_spec,slash_sheet,dash,common_name,gender,contacts,connector_type,density,shell_size,shell_letter,pin_count,contact_size,finish,finish_name,class
M24308_2-11F,M24308/2-11F,MIL-DTL-24308,2,11,DE-15 HD,Receptacle,socket,Crimp,High,1,E,15,22,F,cadmium,G
M24308_2-11K,M24308/2-11K,MIL-DTL-24308,2,11,DE-15 HD,Receptacle,socket,Crimp,High,1,E,15,22,K,zinc nickel,G
M24308_2-11T,M24308/2-11T,MIL-DTL-24308,2,11,DE-15 HD,Receptacle,socket,Crimp,High,1,E,15,22,T,nickel fluorocarbon polymer,G
M24308_2-11Z,M24308/2-11Z,MIL-DTL-24308,2,11,DE-15 HD,Receptacle,socket,Crimp,High,1,E,15,22,Z,zinc,G
M24308_2-12A,M24308/2-12A,MIL-DTL-24308,2,12,DA-26 HD,Receptacle,socket,Crimp,High,2,A,26,22,A,pure electrodeposited aluminum,G
M24308_2-12F,M24308/2-12F,MIL-DTL-24308,2,12,DA-26 HD,Receptacle,socket,Crimp,High,2,A,26,22,F,cadmium,G
M24308_2-12K,M24308/2-12K,MIL-DTL-24308,2,12,DA-26 HD,Receptacle,socket,Crimp,High,2,A,26,22,K,zinc nickel,G
M24308_2-12T,M24308/2-12T,MIL-DTL-24308,2,12,DA-26 HD,Receptacle,socket,Crimp,High,2,A,26,22,T,nickel fluorocarbon polymer,G
M24308_2-12Z,M24308/2-12Z,MIL-DTL-24308,2,12,DA-26 HD,Receptacle,socket,Crimp,High,2,A,26,22,Z,zinc,G
M24308_2-13A,M24308/2-13A,MIL-DTL-24308,2,13,DB-44 HD,Receptacle,socket,Crimp,High,3,B,44,22,A,pure electrodeposited aluminum,G
M24308_2-13F,M24308/2-13F,MIL-DTL-24308,2,13,DB-44 HD,Receptacle,socket,Crimp,High,3,B,44,22,F,cadmium,G
M24308_2-13K,M24308/2-13K,MIL-DTL-24308,2,13,DB-44 HD,Receptacle,socket,Crimp,High,3,B,44,22,K,zinc nickel,G
M24308_2-13T,M24308/2-13T,MIL-DTL-24308,2,13,DB-44 HD,Receptacle,socket,Crimp,High,3,B,44,22,T,nickel fluorocarbon polymer,G
M24308_2-13Z,M24308/2-13Z,MIL-DTL-24308,2,13,DB-44 HD,Receptacle,socket,Crimp,High,3,B,44,22,Z,zinc,G
M24308_2-14A,M24308/2-14A,MIL-DTL-24308,2,14,DC-62 HD,Receptacle,socket,Crimp,High,4,C,62,22,A,pure electrodeposited aluminum,G
M24308_2-14F,M24308/2-14F,MIL-DTL-24308,2,14,DC-62 HD,Receptacle,socket,Crimp,High,4,C,62,22,F,cadmium,G
M24308_2-14K,M24308/2-14K,MIL-DTL-24308,2,14,DC-62 HD,Receptacle,socket,Crimp,High,4,C,62,22,K,zinc nickel,G
M24308_2-14T,M24308/2-14T,MIL-DTL-24308,2,14,DC-62 HD,Receptacle,socket,Crimp,High,4,C,62,22,T,nickel fluorocarbon polymer,G
M24308_2-14Z,M24308/2-14Z,MIL-DTL-24308,2,14,DC-62 HD,Receptacle,socket,Crimp,High,4,C,62,22,Z,zinc,G
M24308_2-15A,M24308/2-15A,MIL-DTL-24308,2,15,DD-78 HD,Receptacle,socket,Crimp,High,5,D,78,22,A,pure electrodeposited aluminum,G
M24308_2-15F,M24308/2-15F,MIL-DTL-24308,2,15,DD-78 HD,Receptacle,socket,Crimp,High,5,D,78,22,F,cadmium,G
M24308_2-15K,M24308/2-15K,MIL-DTL-24308,2,15,DD-78 HD,Receptacle,socket,Crimp,High,5,D,78,22,K,zinc nickel,G
M24308_2-15T,M24308/2-15T,MIL-DTL-24308,2,15,DD-78 HD,Receptacle,socket,Crimp,High,5,D,78,22,T,nickel fluorocarbon polymer,G
M24308_2-15Z,M24308/2-15Z,MIL-DTL-24308,2,15,DD-78 HD,Receptacle,socket,Crimp,High,5,D,78,22,Z,zinc,G
M24308_2-16A,M24308/2-16A,MIL-DTL-24308,2,16,HD-104,Receptacle,socket,Crimp,High,6,,104,22,A,pure electrodeposited aluminum,G
M24308_2-16F,M24308/2-16F,MIL-DTL-24308,2,16,HD-104,Receptacle,socket,Crimp,High,6,,104,22,F,cadmium,G
M24308_2-16K,M24308/2-16K,MIL-DTL-24308,2,16,HD-104,Receptacle,socket,Crimp,High,6,,104,22,K,zinc nickel,G
M24308_2-16T,M24308/2-16T,MIL-DTL-24308,2,16,HD-104,Receptacle,socket,Crimp,High,6,,104,22,T,nickel fluorocarbon polymer,G
M24308_2-16Z,M24308/2-16Z,MIL-DTL-24308,2,16,HD-104,Receptacle,socket,Crimp,High,6,,104,22,Z,zinc,G
M24308_3-1A,M24308/3-1A,MIL-DTL-24308,3,1,DE-9 (DB-9),Plug,pin,Solder Cup,Standard,1,E,9,20,A,pure electrodeposited aluminum,G
M24308_3-1F,M24308/3-1F,MIL-DTL-24308,3,1,DE-9 (DB-9),Plug,pin,Solder Cup,Standard,1,E,9,20,F,cadmium,G
