part_number,official_pin,rev,slash,gauge_awg,color_code,color_name,specification,insulation,insulation_detail,wall,plating,conductor,conductor_material,stranding,conductor_od_in,wire_od_in,insulation_wall_in,weight_lb_per_kft,resistance_ohm_per_kft,temperature_c,voltage_v,m27500_symbol,datasheet,path
M22759_11-12-96,M22759/11-12-96,1,11,12,96,white/blue,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,37x28,0.0865,0.111,0.0123,24.1,1.81,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-12-96/M22759_11-12-96-rev1
M22759_11-12-97,M22759/11-12-97,1,11,12,97,white/violet,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,37x28,0.0865,0.111,0.0123,24.1,1.81,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-12-97/M22759_11-12-97-rev1
M22759_11-12-98,M22759/11-12-98,1,11,12,98,white/gray,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,37x28,0.0865,0.111,0.0123,24.1,1.81,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-12-98/M22759_11-12-98-rev1
M22759_11-14-0,M22759/11-14-0,1,11,14,0,black,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x27,0.0670,0.090,0.0115,15.1,2.88,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-14-0/M22759_11-14-0-rev1
M22759_11-14-1,M22759/11-14-1,1,11,14,1,brown,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x27,0.0670,0.090,0.0115,15.1,2.88,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-14-1/M22759_11-14-1-rev1
M22759_11-14-2,M22759/11-14-2,1,11,14,2,red,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x27,0.0670,0.090,0.0115,15.1,2.88,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-14-2/M22759_11-14-2-rev1
M22759_11-14-3,M22759/11-14-3,1,11,14,3,orange,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x27,0.0670,0.090,0.0115,15.1,2.88,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-14-3/M22759_11-14-3-rev1
M22759_11-14-4,M22759/11-14-4,1,11,14,4,yellow,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x27,0.0670,0.090,0.0115,15.1,2.88,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-14-4/M22759_11-14-4-rev1
M22759_11-14-5,M22759/11-14-5,1,11,14,5,green,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x27,0.0670,0.090,0.0115,15.1,2.88,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-14-5/M22759_11-14-5-rev1
M22759_11-14-6,M22759/11-14-6,1,11,14,6,blue,MIL-DTL-22759/11,PTFE,"extruded PTFE, medium weight",medium,silver,copper,silver-coated copper,19x27,0.0670,0.090,0.0115,15.1,2.88,200,600,RC,https://www.ryanelectronics.com/products/m2275911/,M22759_11-14-6/M22759_11-14-6-rev1
